no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
5652;72;03;PT DETIAN COKING INDONESIA;TRANS SULAWESI, KAWASAN INDUSTRI IMIP, LABOTA, BAHODOPI, KAB. MOROWALI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5653;72;03;PT CHENGTOK LITHIUM INDONESIA;;;;;;Kawasan Industri
5654;72;03;PT SEAWING NEW ENERGY;;;;;;Kawasan Industri
5655;72;03;PT HONCH NEW ENERGY;PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5656;72;03;PT ZHONGTSING NEW ENERGY;PT IMIP;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5657;72;03;PT ZHAO HUI NICKEL;DESA FATUFIA, KECAMATAN BAHODOPI, KAB. MOROWALI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5658;72;03;PT ORACLE NICKEL INDONESIA;KAWASAN PT IMIP, LABOTA, BAHODOPI;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5659;72;03;PT CNGR DING XING NEW ENERGY;GEDUNG IMIP, JALAN BATU MULIA 8, DESA/KELURAHAN MERUYA UTARA, KEC. KEMBANGAN;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
5660;72;03;PT QING KOTA METAL INDONESIA;;;;;;Kawasan Industri
5661;72;03;PT YONG WANG INDONESIA;JL.TRANS SULAWESI, LABOTA, BAHODOPI, SULAWESI TENGAH;7203;[03] MOROWALI;Kawasan Industri;Kawasan Industri Morowali-Kawasan Industri Morowali-Morowali Industrial Park;Kawasan Industri
